insult,desc,eng,visible,region
"Ca t'puozza scap'collà","Che la tua testa si possa staccare dal collo","May your head detach from the neck",0,1
"Ca t'puozza venì la sciorda a ventaglio","Che ti possa venire la dissenteria","May you get dysentery",0,1
"Coccia 'r pruvulon","Testa di provolone (stupido)","Provolone-cheese head (stupid)",0,1
"Ma vir addò t' n'ara ì","Ma vedi dove devi andare","Go check where you have to go (fuck off)",0,1
"Mo t' tir' nu leccamuss'","Adesso ti tiro un lecca-muso (schiaffo)","I'm about to give you a face-lick (a slap)",0,1
"Muss 'r puorc","Muso di porco (brutto)","Pig face (ugly)",0,1
"piccul e mal cavat","piccolo e mal cresciuto (maleducato)","small and poorly raised (badly behaved)",1,1
"Puozza ittà ru sang","Che tu possa sputare sangue","May you spit blood",0,1
"Sí fatt' ru cul com' a 'na valig'","Hai un culo grosso come una valigia","You're ass is as big as a luggage",0,1
"T'azzecc du' sard'llin","Ti tiro due schiaffoni","I'll give you two slaps",0,1
"T' puozza schiattà n'guorp","Ti possa scoppiare il corpo","May your body blow up",0,1
"T' reng' nu' s'nistr che p' t' rà ru' destr' t'a v'ní a c'rcá a Cercemaggior'","Ti do un sinistro che per darti il destro ti vengo a cercare a Cercemaggiore","I'll hit you with my left and then to hit you with my right I have to come look for you in Cercemaggiore",0,1
"T' sfraff 'r sang'","Ti macchio di sangue (il tuo)","I'll stain you with blood (your own)",0,1
"Vatt a r'pon","Vai a riporti (vai via)","Go back where you came from",1,1
"Vatt a fa na pomb","Vai a masturbarti","Go wank",0,1
"Vatt'a ratta","Vai a grattarti","Go scratch yourself",0,1
"Vid d' n'n c' romb' ru cazz'","Vedi di non rompere il cazzo","Don't break our dick (fuck off)",0,1
Chabrabuc,Capra,Goat,0,19
Embecil,Imbecille,Imbecil,0,19
Farinel,Brigante,Bandit,0,19
"iturdí",rincoglionito,Stoned,1,19
"Vei te scià","Vai a quel paese","Fuck off",0,19
"t u puzza pgjá ngul","che tu possa prenderlo in culo","may you get it in the ass",0,3
"ambie a dat papine a dò a dò fin quan che le dienta dispari","Ti do due schiaffoni alla volta finché non diventano dispari","I'll give you slaps two by two until they become odd",0,10
babbi,rincoglionito,stoned,0,10
Balabiott,Nullafacente,Lazy,0,10
"Caghèt ados e po dopo bala","Cacati nelle mutande e poi balla","Poo in your pants and then dance",0,10
"Càsciabàll",Bugiardo,Liar,1,10
"Facia da cul de can da cacia","Faccia da culo come un cane da caccia","Assface like a hound dog",0,10
"Facia da tola","Faccia di latta (falso)","Tin face (false person)",0,10
"Gratacù",Antipatico,Unpleasant,0,10
Logia!,Puttana!,Whore!,0,10
"Ma va a ciapal in del lisca!","Ma vai a prenderlo in culo!","Go get it in your ass",0,10
"Mena no el turun!","Non parlare a vanvera!","Don't say stupid things",0,10
"Pastrügnùn",Pasticcione,Blunderer,1,10
Pelabrocch,"Pulisci rami (buono a nulla)","Tree branch cleaner (good for nothing)",0,10
Piciu,"Testa di cazzo",Dickhead,0,10
Pulentatt,"Polentone (lento)","Polentone (slow)",0,10
"ta do 'n pign sol co' che ta fo s-ciopà le scarpe","ti do un pugno in testa che ti fa scoppiare le scarpe","I'll punch you on your head and your shoes will blow up",0,10
"ta do 'n sbirlù che da che a i ta aresta per vagabondaggio","Ti do una sberla che ti arrestano per vagabondaggio","",0,10
"ta do 'n sbirlù che quan che ta smetet de pirlà i tò istich yè pasach de moda","Ti do una sberla che quando ti fermi di girare i vestiti sono passati di moda","I'll slap you so much that when you stop rolling your clothes are out of fashion",0,10
"ta parchegie na mà sol mus e po' dopo fo manovra","ti parcheggio una mano in faccia e poi faccio manovra!","",1,10
"Te ghè ciapà la vaca per i ball","Hai acchiappato la vacca per i testicoli (stai facendo un lavoro sbagliato)","You grabbed the cow by the balls (you're doing it wrong)",0,10
"Te se propri un pirla!","Sei proprio un cretino","You are so nitwit",0,10
"Te se' curiuus 'me 'l ma' de ventar","Sei curioso come il mal di pancia","You are curious like bellyache",0,10
"Te se' malà in duè te se' petenat","Sei malato dove ti pettini (sei pazzo)","You are sick where you comb yourself (you're crazy)",0,10
"Te se' püsè föra d'un vas da gerani","Sei più fuori di un vaso di gerani (sei fuori come un balcone)","You are so out of it, more than a flower jar (you're out like a balcony)",0,10
"Và a Bagg a sonà l'orghen","Vai alla chiesa di San Baggio a suonare l'organo (non c'è organo nella chiesa)","Go to Baggio's church and play the organ (there is no organ there)",0,10
"Và a cà a fa rustì el lacc!","Vai a casa ad arrostire il latte!","Go home and roast some milk!",1,10
"Và a cà a petenà i gaenn!","Vai a casa a pettinare le galline!","Go home and comb chickens!",0,10
"Va a ciapà i ratt!","Vai ad acchiappare i topi! (vaffanculo)","Go hunt rats",0,10
"Va a dà via 'l cul!","Vai a donare il tuo culo! (vaffanculo)","Go give away your ass",0,10
"Và a scuà 'l mar!","Vai a pulire il mare!","Go clean the sea!",0,10
"Va bèn a fèr dal pugnàt!","Vai a masturbarti","Go wank yourself",0,10
"bìgol!",imbranato!,dolt!,0,17
Caora,Troia,Whore,1,17
Chegambraghe!,Smidollato!,"Shitty pants!",0,17
Coion,Coglione,Jerk,0,17
imbezile,imbecille,moron,0,17
Manz!,Scemo!,Silly!,0,17
baban,babbeo,sucker,0,7
"bacon di mone","pezzo d'idiota","piece of idiot",0,7
barbuzal!,tonto!,fool!,1,7
"basoâl!",tonto!,fool!,0,7
cavociar,"testa quadra (stupido)","square head (stupid)",0,7
cojon,coglione,jerk,0,7
dordel,ingenuo,gullible,0,7
dordei/dordel,ingenuo,gullible,0,7
"Facine mal leade","Fascina mal legata (fannullone)","Poorly tied brushwood (slacker)",0,7
"imbecîl",tonto!,fool!,1,7
"ingredeât",imbranato,clod,0,7
"inšemenît",tonto!,fool!,0,7
"là a cagà te vergis","vai a defecare tra le verze","go take a dump in a cabbage field",0,7
"ma te sòn bruzà?","ma sei bruciato?","Are you burnt? (something is wrong with you)",0,7
masocja,"radice del sedano (testardo)","celery root (stubborn)",0,7
mauc!,tonto!,fool!,0,7
pecjotar!,"straccione! (pecjot è uno straccio)","tramp! (pecjot is a rag, so who dresses with rag-like clothes)",1,7
sdrondine!,puttana!,whore!,0,7
snacaios!,"sei moccio!","you're mucus!",0,7
"te sòn fora come un pergolo","sei fuori come un balcone","You're out like a balcony (crazy)",0,7
"te sòn perso come l'austria","sei perso come l'austria (che crollò dopo la I guerra mondiale)","You're lost like Austria (Austro-Hungarian empire, which dominated Friuli Venezia Giulia until the end of world war I, when it collapsed)",0,7
"te sòn tuto fulminado","sei completamente fulminato","",0,7
"testa d'asino","čha' di mus","donkey face",0,7
"testa di cavolo","čha' di vuès","cabbage head",1,7
"testa di legno","čha' di palamai",loggerhead,0,7
"testa di rapa","čha' di temul",blockhead,0,7
"testa senza cervello","čhâv sbûs","brainless head",0,7
"testardo come un mulo","testard tanche un mul","stubborn like a mule",0,7
"va a fati-foti","vai a farti fottere","go get fucked",0,7
"Ancutí",Ottuso,Dull,0,12
bacioc,sgorbio,scrawl,1,12
Badaluc,Stupido,Stupid,0,12
"Badòln",Stupido,Stupid,0,12
Bagasa,Troia,Whore,0,12
Balengu,Cretino,Nitwit,0,12
baloss,canaglia,scoundrel,0,12
baravantan,strano,weird,0,12
barlafus,"persona inutile","good for nothing",1,12
"Betè",Idiota,Idiot,0,12
Bocin,"Vitello (stupido)","Veal (stupid)",0,12
"Brut coma la neuit","Sei brutto come la notte","You're as ugly as the night",0,12
Cagon,Cacasotto,"Shitty pants",0,12
Chabrabuc,Capra,Goat,0,12
ciapa-ciapa,imbroglione,fraud,0,12
Ciaparat,"Acchiappa ratti (incapace)","Rats hunter (incompetent)",1,12
Contabale,"Racconta balle",Liar,0,12
Cutu,Stupido,Stupid,0,12
Gadan,Stupido,Stupid,0,12
fabioc,tonto,dumb,0,12
"Fafiuchè",Deficiente,Idiot,0,12
fagnan,sfaticato,lazy,0,12
Falabrac,Inetto,Incompetent,1,12
Fanfaluch,"Racconta frottole",Liar,0,12
"Fòl",Stupido,Stupid,0,12
"Fòl coma na mica","Stupido come una pagnotta","Stupid like a loaf",0,12
frusta-cadreghe,"logora-sedie (sfaticato)","chairs-worner (lazy)",0,12
Fulatrun,Scimunito,Fool,0,12
gnoc,tonto,dumb,0,12
"grass coma un fra'","grasso come un frate","Fat like a friar",1,12
"iturdí",rincoglionito,Stoned,0,12
ligera,idiota,Idiot,0,12
lumasson,"lumacone (viscido)","big snail (slimy)",0,12
"mars coma un bolè","marcio come un fungo","rotten like a mushroom",0,12
"mesi causset","mezza calza","half sock (useless)",0,12
parpagnacu,imbranato,clod,0,12
Patelavache,"Picchiatore di mucche (grezzo)","Cow-hitter (rude)",1,12
pepia!,acida!,sour!,0,12
Piciu,"Testa di cazzo",Dickhead,0,12
Savata,"Ciabatta (non vali niente)","slipper (useless)",0,12
Scraciun,Sporco,Dirty,0,12
tardoc,tonto,dumb,0,12
"testard coma un mul","testardo come un mulo","stubborn like a mule",0,12
Tupin,"Sei un contenitore di piscio","Piss container",1,12
Turlupupu,Stupido,Stupid,0,12
Turtu,Imbranato,Clod,0,12
"va a da via 'l ciape","vai a dare via il culo","go give away you're ass (fuck off)",0,12
"Va a pietlu in tel cul","Vai a quel paese","Fuck off",0,12
"Vattla piè en la giaca","Vai a prendertelo in giacca","Go get it in your coat (fuck off)",0,12
"Vei te scià","Vai a quel paese","Fuck off",0,12
Baengo,Strambo,Weird,1,20
"Bàsime i durèi","Baciami i testicoli","Kiss my testicles",0,20
Baucco!,Sciocco!,Silly!,0,20
cojon!,coglione!,asshole!,0,20
"Date cò un legno","Menati da solo con un pezzo di legno","Beat yourself with a wooden stick",0,20
"Ghe sboro","Ti getto il mio sperma addosso","I'll ejaculate on you",0,20
goldon,idiota,idiot,0,20
"Imatonìo","Sei un mattone (stupido)","You're a brick (stupid)",1,20
Imbecilon,Imbecille,Imbecile,0,20
"Imbornìo",Rincoglionito,Stoned,0,20
"Increcoeà",Rincoglionito,Stoned,0,20
"Insemenìo",Scemunito,Stupid,0,20
"Insipià",Scemunito,Stupid,0,20
Magnamerda,"Mangia merda (traditore)","Poop eater (traitor)",0,20
Magnasborae,"Mangia sperma","Sperm eater",1,20
"Ma ti gà e moròidi in testa?","Ma che hai gli emorroidi in testa? (faccia da culo)","Do you have hemorrhoids on your head? (ass face)",0,20
"Ma ti ghe gà magnà ea merda al mago?","Che hai mangiato la merda del mago (hai detto una cosa scontata)","You ate the magician's shit (you said something obvious)",0,20
"Ma ti se sbregà","Che sei rotto? (qualcosa non va in te)","Are you broken? (something is wrong with you)",0,20
"Mòngoeo",Mongoloide,"",0,20
"Muso da mona","Faccia da vagina","Pussy face",0,20
"Om de boassa","Uomo di merda","Crappy man",0,20
"S-ciopà",Scoppiato,"Blown (crazy)",1,20
"Te darìa na s-ciaffa che el muro re ne da n'altra","Ti darei uno schiaffo che poi il muro te ne da un altro","I'll slap you so hard that the wall will slap you again",0,20
"Te sì fora come un balcon","Sei fuori come un balcone","You're out like a balcony (crazy)",0,20
"Te sì imbriago!","Sei ubriaco!","You must be drunk!",0,20
"Te sì simpatico come un cancaro al cueo","Sei simpatico come un cancro al sedere","You're as nice as a cancer in the ass",0,20
"Te sì un musso","Sei un asino (testardo)","You're a donkey (stubborn)",0,20
"Te vegno in torteìn","Ti vengo nel tortellino (il culo)","I come in the tortellino (in your ass)",0,20
"Ti se scapeà?","Ti sei scapocciato? (sei fesso)","Are you blown? (you're naive)",1,20
"Tratte alto!","Buttati dall'alto!","Go jump from a high cliff!",0,20
"Va in cùeo da to mare","Vai ad avere un rapporto sessuale anale con tua madre","Go have anal sex with your mother",0,20
aldamar,letamaio,"pigsty (you're full of shit)",0,6
"At caz dal scavidi","Ti prendo a schiaffi","I'm gonna slap you",0,6
"At caz un manarvers ca't fag zire pr'una stmèn","Ti do uno schiaffo che ti faccio girare per una settimana","I'll give a slap that makes you spin for a week",0,6
"At cioud in te culeg","Ti chiudo in collegio","",0,6
"At cmenz a dè du sciafun ala volta finchè in dvènta despar","Comincio a darti due schiaffoni alla volta finché non diventi dispari","I'll give you slaps two by two until they become odd",1,6
"At dag un cargadour ad bòti","Ti carico di botte","I fill you with slaps",0,6
"At dag un sciafon cut parrà e dè d pasqua","Ti do uno schiaffone che ti sembrerà pasqua","I'll give you a slap that you'll think it's easter",0,6
"At faz na bretta","Te ne faccio un berretto (te lo tiro in testa)","I'll make a hat for you out of it (I will throw it against your head)",0,6
"At'si quèdar 'me la testa 'd 'n arsan!","Sei quadrato come la testa di un reggiano","",0,6
"Cat viena al zamor","Che ti venga il cimurro","May you get distemper",0,6
"Cat viena dù cancar ala volta finchè idventa dispar","Che ti vengano due cancri alla volta finchè diventino dispari","May you get cancers in pairs until they become odd",0,6
"Cat viena un mal che un cancar al sia un suliev","Che ti venga un male che un cancro sia un solliveo","May you get an illnes that a cancer is a relief",1,6
"Cat viena un mal saltarin in una camara dal sufit bas","Che ti venga un male salterino in una camera dal soffitto basso","May you get an illness that makes you jump, in a room with a low ceiling",0,6
"Ci acsè svampei che t'coz","Sei così svampito che vai a sbattere con la testa","You are so hare-brained that you hit you're head all the time",0,6
"Ci forra cum una bessa","Sei fuori come una biscia","You're out like a grass snake",0,6
"Ci fort c'mè l'aseda","Sei forte come l'aceto","You're cool like vinegar",0,6
"Ci furb, sol se chi-elt iè imbezel","Sei furbo solo se gli altri sono imbecilli","You're the smartest when all around you are stupids",0,6
"Ci long cum la messa canteda","Sei lungo come la messa cantata","You're boring like the sung mass",0,6
"Cì pez che ne la merda in te lét","Sei peggio della merda nel letto","You're worse than having shit in bed",1,6
"Ci propri un cucalon","Sei proprio un credulone","You're such a sucker",0,6
"Ci zonz c'me e baston de pulèr","Sei sporco come il bastone del pollaio","You're dirty like a stick in a hen-house",0,6
cuajoun,coglione,asshole,0,6
cujon,coglione,asshole,0,6
"Cu t'aves magnè la troia da znein","Che ti avesse mangiato la troia da piccolo","",0,6
"Cu't casches l'usel matera e u't rimbalzes in the cul","Che ti caschi l'uccello in terra e ti rimbalzi in culo","May your dick drop on the ground and bounce into your ass",0,6
"Cut s'ciupes una roda in curva","Che ti scoppi una ruota in curva","May one of your tires burst while you're making a turn",1,6
"Faza da cul da chèn da caza l'è piò bel e mi cul che la tu faza","Faccia da culo da cane da caccia è più bello il mio culo che la tua faccia","",0,6
Fis-ciaza,Spione,Spy,0,6
invurnid,imbranato,clod,0,6
"It à tgnù tri dì insla punta d'na badila, parché in saveva sat'ieri merda o paja","Ti hanno tenuto tre giorni sulla punta di un badile, perché non sapevano se eri merda o paglia","They kept you on the tip of a pitchfork for three days, because they didn't know whether you were shit or straw",0,6
Pataca,Stupido,Stupid,0,6
"Sat ciap a t'un dag cu ne sa nisoun","Se ti acchiappo te ne do che non lo sa nessuno","If I catch you I'll beat you so much that nobody knows",0,6
"Sat ciàp at scòurg da veiv","Se ti acchiappo ti scortico vivo","If I catch you I'll skin you alive",1,6
"Sat ciàp at stac un braz e at mèin sa quèl","Se ti acchiappo ti stacco un braccio e ti meno con quello","If I catch you I'll rip off one of your arms and beat you up with it",0,6
"Sel te la vaca in tla scheina?","Che hai una vacca sulla schiena? (sfaticato)","Do you have a cow on your back? (lazy)",0,6
"Socc'",Succhiamelo,"Suck me",0,6
Surdaz,Testone,Stubborn,0,6
"T'fe avni e lat m'i garet","Fai venire il latte alle caviglie","You make me have milk in my ankles",0,6
"T'fe schiv, loz e vargogna","Fai schifo, lordura e vergogna","You're revolting, loathing and embarassing",0,6
"Tan ci propri nurmel sobit","Tu non sei proprio normale subito","You're not normal at first sight",1,6
"Te una testa com una mazola","Hai una testa come una mazzola","You have a head like a tub gurnard",0,6
"Te ona testa che sù la ià una mazola la s'afoga","Hai una testa che se ce l'ha una mazzola affoga","You have a head that if a fish had it, it would drown",0,6
"Te ona testa che sù la ià un sardòn e và in muntagna","Hai una testa che se ce l'ha un sardone va in montagna","",0,6
"Tul in te sàc","Vai a prenderlo in culo","Go get it in the ass",0,6
"Va a cagher","Vai a cagare","Go take a dump",0,6
"Va a fè al pugnetti valà","Vai a masturbarti","Go wank",0,6
"Va a fè di buchein mi chèn","Vai a fare i bocchini ai cani","Go blow a dog",1,6
"Va a scurzé en’te remal","Va a scoreggiare sulla crusca (vai via)","Go fart on some bran (go away)",0,6
"Va' bèn a fèr dal pugnàt!","Vai a masturbarti","Go wank",0,6
"Vat fe dè in te cul","Vai a quel paese","Fuck off",0,6
Bagassa,Troia,Whore,0,9
Balengo,Strambo,Weird,0,9
besugo,tonto,gullible,0,9
"Poscitu muì orbu","Che tu possa morire cieco","May you die blind",1,9
Sussabelin,Rompiballe,"Pain in the ass",0,9
"Ti t'é ciù brutto d'o bacco do pollà","Sei più sporco del bastone dell'aia","You're more dirty than a stick in a hen-house",0,9
"Vanni a dà du cù","Vai a darci di culo","Go give your ass away",0,9
"Bellino sì...tu faresti gattare anche un cignale!","Sei così brutto che faresti vomitare anche un cinghiale!","You're so ugly that you would scare a boar",0,16
"Che ti lèi da' i' cazzo?!","Ti levi dal cazzo?!","Go out of my dick's way! (go away)",0,16
"Ma va' a piallo n'culo!","Vai a prenderlo in culo!","Go get it in your ass",0,16
"Sorti di fra i hoglioni!","Togliti dai coglioni","Get out of my ball's way! (go away)",1,16
tegame!,zoccola!,whore!,0,16
"ti levi di 'ulo","Ti levi dal culo (vai via!)","Get off my ass (go away!)",0,16
"ti pigliasse la cacarella a fischio","ti possa venire una cacarella rumorosa","may you get noisy trots",0,16
"Busta de piscio","Busta di piscio","Bag full of piss",0,8
"C'hai 'na sfiga tarmente granne che se te casca'r cazzo te rimbarza 'n culo!","Hai una sfiga cosí grande che se ti casca il cazzo ti rimbalza nel culo","You're so unlucky that if your dick drops it bounces in your ass",0,8
"Che te potessero lancià contro 3 colpi... uno che te liscia uno che te pia e uno che stenne tu sorella...","Che ti possano lanciare 3 colpi... uno che ti liscia, uno che ti prende e uno che stende tua sorella","May someone shoot you three hits... one that misses you, one that gets you and one that gets your sister",0,8
"Cuglio de puzzica!","Ti dai troppe arie (come una puzzola che mostra il culo)","You're showing yourself",1,8
"Me fai sbrattà","Mi fai vomitare","You make me puke",0,8
"Me te metto 'n tasca e te meno quanno ciò tempo","Ti metto in tasca e ti meno quando ho tempo","I'll put you in my pocket and deal with you when I have time",0,8
"'n te sputo che t'amprofumo","Non ti sputo perchè ti improfumerei","I don't spit on you because I would make you smell good",0,8
"sei tarmente brutto che si te incontra la morte de notte se gratta li cojoni","sei così brutto che se ti incontra la morte si gratta i testicoli","you're so ugly that if the reaper meets he'll scratch his balls",0,8
"T'atteggi t'atteggi ma sur cazzo mio nun ce scureggi","Ti atteggi ma sul mio cazzo non ci scorreggi (non mi fai impressione)","You show yourself off but you won't fart on my dick (you don't impress me much)",0,8
"Te ciancico e poi te sputo","Ti mastico e poi ti sputo","I'll chew and then spit you",0,8
"Te do li schiaffi a due a due finchè nun diventeno dispari","Ti tiro schiaffi a due a due finchè non diventano dispari","I'll give you slaps in pairs until they become odd",1,8
"Te do mezz'ora de schiaffi in cinque minuti","Ti do mezz'ora di schiaffi in 5 minuti","I'll give you 30 minutes of slaps in 5 minutes",0,8
"Te do 'n carcio ar culo che se per aria nun te porti da magnà te mori de fame","Ti do un calcio nel culo che se quando sei per aria non ti porti da mangiare ti muori di fame","I'll kick your ass so much that you'll fly, and if you don't have food you'll starve to death",0,8
"Te do 'na cricca sur petto che te ce faccio vení a nicchietta pe la madonna","Ti do un colpo in petto che ti faccio diventare come una nicchia per la madonna","I'll hit your chest and turn you into a niche for the virgin mary",0,8
"Te do 'na pizza che t'arestano pe' vagabondaggio","Ti do uno schiaffo che ti arrestano per vagabondaggio","",0,8
"Te faccio du' occhi neri che se te metti a masticà er bambù er wwf te protegge","Ti faccio due occhi neri che se mastichi il bambù il wwf ti protegge","I'll give you two black eyes so that if you eat some bamboo the wwf will protect you",0,8
"Te giro come 'na trottola che quanno te fermi i vestiti sò passati de moda","Ti giro come una trottola che quando ti fermi i vestiti sono passati di moda","I'll spin you so much that when you stop your clothes are out of fashion",0,8
"Te gonfio come 'na zampogna","Ti gonfio come una zampogna","I'll pump you up like a bagpipe",1,8
"Te metto 'n dito 'n bocca, uno ar culo e te sciacquo come 'na damiggiana","Ti metto un dito in bocca, uno in culo e ti sciacquo come una damigiana","I'll put a finger in your mouth, one in your asshole and I'll rinse you like a jug",0,8
"Te mischio come un mazzo de carte","Ti mischio come un mazzo di carte","I'll shuffle you like a card deck",0,8
"Te parcheggio 'na mano 'n faccia","Ti parcheggio una mano in faccia","I'll park my hand on your face",0,8
"Te piglio pe' li buchi der naso e t'aribbarto come li porpi","Ti prendo per i buchi del naso e ti ribalto come i polpi","I'll grab you by your nose's holes and I'll capsize you like an octopus",0,8
"Te pijo pe 'na recchia e te sventolo come 'na bandierina","Ti prendo per un orecchio e ti sventolo come una bandierina","I'll grab you by an ear and wave you like a flag",0,8
"Te pio pe' le recchie e te arzo com a coppa uefa","Ti prendo per le orecchie e ti alzo come la coppa uefa","I'll grab by your ears and lift you like a prize cup",0,8
"Te pozzeno fa i buttuni de matreperla","Che ti possano mettere i bottoni di madreperla (vengono messi ai morti)","May they put mother-of-pearl buttons on you (they are usually put on dead people)",1,8
"Te pozzi cicatte!","Che tu possa rimanere cieco!","May you become blind!",0,8
"Te ribarto come 'na cotoletta","Ti ribalto come una cotoletta","I'll capsize you like a piece of meat on the stove",0,8
"Te rivolto come 'n carzino","Ti rivolto come un calzino","I'll turn you over like a sock",0,8
"Te sparecchio la faccia","Ti sparecchio la faccia","I'll clear your face",0,8
"Te strappo 'n braccio e te lo metto pè cravatta","Ti stacco un braccio e te lo metto addosso come cravatta","I'll remove your arm and put it on you like a tie",0,8
"Te succhio come 'n gamberetto","Ti succhio come un gamberetto","I'll suck you like a shrimp",0,8
"testa de carciofo","testa di carciofo","artichoke head (blockhead)",1,8
"vattela pija n'der culo","vai a prendertelo in culo","go get it in your ass",0,8
"Almeno te piasse la cacarella a zompi!","Almeno ti venga una cacarella ad oltranza","May you get at least hiccupping diarrhea",0,18
"te manca solo lo spago p'essen'salame","ti manca solo lo spago per essere un salame","you're missing only the twine to be a salami",0,18
"Te pijasse un corbu! Ma anche un altro se no sberbichi","Ti prendesse un ictus! Ma anche un altro dall'altra parte altrimenti perdi l'equilibrio","May you get a brain stroke! But also another on the other side of the brain so you don't lose balance",0,18
"Te spojasse 'n trono e t'arvestisse n' furmine","Che ti spogli un tuono e ti rivesta un fulmine","May a thunder take your clothes off and a lightning put them back",0,18
"C'hai le fregne 'ntela testa","Hai vagine nella testa (te la tiri troppo)","You got pussies in your head (you're showing off)",0,11
"Che Dio ti abbia in cielo poi ti lasci!","Che Dio ti abbia in cielo e poi ti lasci cadere","May God have you in heaven then drop you",1,11
"Che te pozza scomponne e 'rcomponnete malamente!","Che tu possa scomporti e ricomporti malamente","May you decompose in pieces and recompose badly",0,11
