insult,desc,eng,visible,region
"Che tu non pozza nè morì nè campà","Che tu non possa morire nè vivere","May you never die and never live",0,11
lota!,merda!,"(you are) shit!",0,11
"M' par' na mutand' staj siemp' annanz' o' cazz'","Mi sembri una mutanda stai sempre davanti al cazzo","You are like underwear, you're always on my dick's way (you're a pain in the ass)",0,11
"Ma nun te vai a fa da 'ntel culo!?","Ma non vai a prenderlo in culo!?","But go get it in your ass!?",0,11
"Sciacquate dai cojoni","Vai via dai coglioni","Wash yourself away from here",0,11
"Se te pio t'intreccio","Se ti prendo ti intreccio","If I catch you I'll weave you",1,11
Addurmito!,"Addormentato! (tonto)","You're sleeping! (dumb)",0,2
"Broccolò",Stupido,Stupid,0,2
"coso ciaffo","coso brutto","ugly thing (person)",0,2
"Dondolò",Fesso,Fool,0,2
"Fatti 'ngulo","Fatti nel culo","Do your own ass",0,2
Gnurantono!,Ignorante!,Ignorant!,0,2
Magnammerda,"Mangia merda (traditore)","Poop eater (traitor)",1,2
"Ndun'd",Intontito,Dull,0,2
"pantàsema","donna semplice","naive girl",0,2
"Puzzi fà la fine deju cutturu, cò j'uncino 'ncanna e ju focu 'nculo","Che tu possa fare la fine della pecora alla cottora, con un uncino in gola e il fuoco in culo","May you end up like the cutturu sheep (a dish), with a hook in your mouth and fire on your ass",0,2
"Puzza fà nu sbruff d sangh aal punt d lu cor!","Ti possa uscire il sangue dalla punta del cuore!","May you bleed from the tip of your heart",0,2
"Se te pijo pe na rua stretta te faccio fa gnau come a na jatta","Se ti prendo per una via stretta, ti faccio fare miao come una gatta","If I meet you in a small street I'll make you mew like a cat",0,2
"Stordolò",Stupido,Stupid,0,2
Sturdullono,Stupido,Stupid,1,2
"Te rescallo le canasse","Ti riscaldo la mascella (ti prendo a schiaffi)","I'll warm your jaw up (I'll slap you)",0,2
"Turdacò",Tonto,Silly,0,2
Tuntollono,Tonto,Silly,0,2
"Va a vedè se stengo 'npiazza","Vai a vedere se sono in piazza (vaffanculo)","Go check whether I am outside (fuck off)",0,2
"Vatte a reponne","Vai a riporti (vai via)","Go back where you came from",0,2
"Vattela a pijà 'nsaccoccia","Vai a prendertelo in tasca (vaffanculo)","Go get it in your pocket (fuck off)",0,2
"Vocc'apè","Bocca aperta (credulone)","open mouth (gullible)",1,2
"zambe chiorte","gambe storte (rachitico)",bowlegged,0,2
"a' luntan si bellill, a vicin si 'o fetill","da lontano sembri carino, ma da vicino sei il buco del culo","from distance you look cute, but closer you look buthole-like",0,5
"'a natura fa brutti scherze, a te te pigliate proprio po' 'o culo!","La natura fa brutti scherzi, a te ti ha preso proprio per culo!","Nature sometimes is wicked, with you it was an ass!",0,5
"Accattate na valigia chiena e cazze tuoi","Comprati una valigia piena di fatti tuoi","Buy a luggage full of your business",0,5
"Appicct e basett' e stutatell abbot e paccr'","Datti fuoco alle basette e spegnilo a suon di schiaffi","Put your whiskers on fire and put it off by slaps",0,5
"ca t puozz scapzza pa via","che tu possa cadere in mezzo alla strada","may you fall in the middle of the road",0,5
"Cac't 'mman e fa comm'agli indian!","Cacati in mano e fai il verso degli indiani!","Poo on your hand and do like the indians",1,5
"Cacat 'mman e schiattatell n'facc","Cacati in mano e sbattitela in faccia","Poo on your hand and flap it in your face",0,5
"Cap 'e cazzo","Testa di cazzo",Dickhead,0,5
"Ce fatto a' uallera a' pizzaiola","Ci hai cosí rotto i coglioni che sono come alla pizzaiola","",0,5
"curto e male 'ncavato","Sei piccolo e mal cresciuto (maleducato)"," You're small and poorly raised (badly behaved)",0,5
"Durmi c'a zizza 'mmocca","Dormi con il seno in bocca (svampito)","You sleep with the boob in your mouth (like a baby - hare brained)",0,5
"e pirete de culo rutte comme a te nu fanno rummore","le scoregge di culo rotto come te non fanno rumore","broken ass' farts like you are not even noisy",0,5
"Fai 'o vallo 'ncopp'a munnezza","Fai il gallo sull'immondizia (arrogante)","You're like a rooster on the garbage (arrogant)",1,5
"Fatte o riporto che e pili do naso","Fatti il riporto con i peli del naso","Comb over with your nose's hair",0,5
"Inta a sta vita si nu coglione, nell'altra eri 'a reincarnazione dell'altro","In questa vita sei un coglione, nell'altra eri la reincarnazione dell'altro","In this life you're a testicle, in the other life you were the reincarnation of the other testicle",0,5
"Ma quanne sí nato tu, mammeta ha rotto le acque o tiraie a catena?","Ma quando sei nato tu, tua madre ha rotto le acque o tirato la catena?","When you were born, your mother broke the waters or flushed you out?",0,5
"Meno male che nu tiene 'e palle, accussí nu currimme 'o rischio e truvà ati strunze comme a te","Meno male che non hai le palle, cosí non corriamo il rischio di trovare altri stronzi come te","Fortunately you have no balls, so there is no risk there will be others like you",0,5
"Nu piglià assai sole sta stagione, 'o sole assecche e strunze","Non prendere troppo sole questa estate, il sole secca gli stronzi","Don't take too much sun this season, the sun dries shit",0,5
"Nu sì bello manco a dinte, aggio visto e radiografie!","Non sei bello neanche dentro, ho visto le radiografie!","You're not even beautiful inside, I saw your x-rays!",0,5
"par o frat ro' cazz'","sembri il fratello del cazzo","you look like the dick's brother",1,5
"par a sor ra' fess'","sembri la sorella della vagina","you look like the vagina's sister",0,5
"Pereta senza rummore","Scoreggia senza rumore","You're a fart without noise",0,5
"Piglia 'a via toja","Prendi la tua strada","Go by your path",0,5
"Puozz'avé mez'ora 'e petriata dinto a 'nu vicolo astritto e ca nun sponta, farmacie 'nchiuse e miedece guallaruse!","Che tu possa essere lapidato in un vicolo stretto e cieco, farmacie chiuse e medici erniosi (lenti a soccorrere)","May you be stoned in a small dead-end street, pharmacies all closed and very slow doctors to cure you",0,5
"Puozze jettà 'o bbeleno!","Che tu possa sputare veleno (morire)","May you spit poison (die)",0,5
"Puozze sculà!","Che tu possa scolare (morire)","May you drain!",0,5
"Quanne me sente na meza chiavica, penso a te e mi ripiglio subbete","Quando mi sento una nullità penso a te e mi riprendo subito","When I feel a loser I think of you and I feel better soon",1,5
"Quanne vai into 'o cesso, te stai riproducenne!","Quando vai al bagno ti riproduci!","When you go to the toilet you are reproducing",0,5
"Quanno veco a te, capisco è nu munno 'e merda","Quando ti vedo capisco che è un mondo di merda","When I see you I realize the world sucks",0,5
"Si a curv ret' o cess","Sei la curva dietro al cesso","You're the curve on the wc's back",0,5
"Si a schifezz di tutt l'uommne","Sei la schifezza di tutti gli uomini","You're the filthiest of all men",0,5
"Si a schifezz e rint a saittel","Sei la schifezza dentro al tombino","You're the dirt under the manhole",0,5
"Sì a scumma rimasta n'coppo 'o penniello doppo che 'o nonno s'è fatta 'a barba","Sei la schiuma rimasta sul pennello dopo che il nonno si è fatto la barba","You're the foam left on the shave brush after that grandpa shaved",0,5
"sì a strunzaggine fosse musica tu fusse na discoteca","se la stronzaggine fosse musica tu saresti una discoteca","if jerkeness were music you would be a disco",1,5
"Sì accussí bello ca si faciss nu pireto m'o zucass!","Sei cosí bello che se facessi una scorreggia me la risucchierei!","You are so handsome that if I farted I would smell it all",0,5
"Sì accussí curnute, che 'o cervo se vò suicidà!","Sei cosí cornuto che il cervo si vuole suicidare","You have so big horns that deers want to kill themselves",0,5
"Sì accussí curto che te faie o bagno into o bidè","Sei cosí basso che ti fai il bagno nel bidè","You are so short that you bathe in the bidet",0,5
"Sì accussí curto che quanne te fai a doccia l'acqua n'capa t'arriva fredda!","Sei cosí basso quando ti fai la doccia l'acqua in testa ti arriva fredda!","You are so short that when you take a shower the water on your head is cold!",0,5
"Si bbrute comm' o cess si te vede a mort cagna mestiere","Sei brutto come un cesso se ti vede la morte cambia mestiere","You're ugly as a toilet if the reaper sees you she will switch job",0,5
"Sì comme a nu criature annanze all'albero e natale, rumpe e palle in continuazione","Sei come un bambino di fronte ad un albero di natale, rompi sempre le palle","You are like a child in front of a christmas tree, you always break balls",0,5
"Sì comme a nu pertuso int'a sacca do calzon, sierv sul pe me fa 'na rattata 'e palle","Sei come il buco nella tasca dei pantaloni, che serve solo a farmi grattare le palle","You're just like the hole in my pants, which is good to scratch my nuts",1,5
"si comme a maneca e 'mbrella, tutto stuorto","Sei come il manico di un ombrello, tutto storto","You're like the hook of an umbrella, awry",0,5
"Sì comme a mutanda staie sempe annanze 'o cazzo","Sei come una mutanda stai sempre davanti al cazzo","You are like underwear, you're always on my dick's way (you're a pain in the ass)",0,5
"Sì comme a raccolta differenziata, nu bidone e munnezza","Sei come la raccolta differenziata, un bidone di immondizia","You're like recycling, a bin of trash",0,5
"Sì comme o strunze appiso 'nculo","Sei come un stronzo penzolante dal sedere","You're like a piece of shit pending from an ass",0,5
"Sì furtunato pecchè sì brutto, si te vede a muorte cagna strada","Sei fortunato perchè sei brutto, se ti vede la morte cambia strada","You're lucky because you're ugly, if death bumps into you she will turn away",0,5
"Si na bellez carut ro ciel, na cacat e palumme","Sei una bellezza caduta dal cielo, la cacca delle colombe","You are a beauty fallen from the sky, doves' shit",0,5
"Si na bellez e ceramica, o cess","Sei una bellezza di ceramica, il cesso","You have a ceramic beauty, like the wc",1,5
"Si na bellezz marina, o purp","Sei una bellezza marina, il polipo","You have a marine beauty, like an octopus",0,5
"Si na buste e pirete","Sei un busta di scorregge","You're a bag of farts",0,5
"Si na cacata e cavall","Sei una cacata di cavallo","You're horseshit",0,5
"Sì na chiav'c","Sei una fogna","You're a sewer",0,5
"Si na mappin e lote","Sei un panno sporco","You're a dirty cloth",0,5
"Si 'na meza bbotta","Sei un mezzo botto","You're half a bang (duffer)",0,5
"Si na ualler a pzzaiuola","Sei un coglione alla pizzaiola","You're a dork at the 'pizzaiola'",1,5
"Si nu pirte st'lliat","Sei una scorreggia fetida","You're a fetid fart",0,5
"Si nu piscetiello 'e cannuccia","Sei un pesciolino di cannuccia (igenuo)","You're a fish of straw (naive)",0,5
"Si nu scaurachiuovo","Sei un bollichiodo","You're a nail boiler (useless)",0,5
"Si magnato 'e cule 'e gallina","Hai mangiato culi di gallina (logorroico)","You ate chicken's asses (long-winded)",0,5
"Si o cummuoje e copp' o cess","Sei il coperchio del cesso","You're the toilet's cover",0,5
"Sì talmente sfurtunate che si se ne care 'o cazzo ti rimbalza into 'o culo","Sei cosí sfortunato che se se ne cade il cazzo ti rimbalza nel culo","You're so unlucky that if your dick drops on the ground then bounces into your ass",0,5
"T' piscio n'capo e ppo' t'asciutto a bott e piriti","Ti urino in testa e poi ti asciugo a botte di flatulenze","I pee on your head and then I dry you by farts",1,5
"te dongo nu pacchere n'faccia che t'arrestano per vagabondaggio","ti do uno schiaffo in faccia che ti arrestano per vagabondaggio","",0,5
"Te manno a fa n'culo cu nu biglietto di sola andata","Ti mando a quel paese con un biglietto di sola andata","I send you to fuck off with a one-way ticket",0,5
"Te metto nu dito n'culo e nato mocca e te sciacquo comme a na buttiglia","Ti metto un dito in culo ed un altro in bocca, e ti sciacquo come una bottiglia","I'll put a finger in your ass and another in your mouth, and then I'll wash you like a bottle",0,5
"Te pense sempe inta a jurnata, ma mo' scusame m'aggia pulizzà o culo!","Ti penso sempre durante la giornata, ma adesso scusami devo pulirmi il culo!","I always think of you during the day, but now I need to clean my ass",0,5
"te vulesse purta' a na parte addo' l'aria tene o prufumo tuio, purtroppo 'o cesso è occupato","ti vorrei portare in un posto dove nell'aria c'è il tuo profumo, purtroppo il bagno è occupato","I'd like to take you to a place where the air has the same smell as you, unfortunately the bathroom is occupied",0,5
"Tene a cazzimme","È uno stronzo","he is a jerk",0,5
"Ti esce na puzza de rrecchie, se vede che tiene 'na capa e merda!","Ti esce una puzza dalle orecchie, si vede che hai la merda in testa!","Your ears smell, it's evident you have shit in your head",1,5
"Ti esce na puzza de rrecchie, se vede che tiene 'na capa e merda!","Ti esce una puzza dalle orecchie, si vede che hai la merda in testa!","Your ears smell, it's evident you have shit in your head",0,5
"tiene 'o cazzo muscio e 'o culo rutto!","hai il cazzo moscio e il culo rotto","your dick is lifeless and your ass is broken",0,5
"tiene 'o culo apierte comme o buco dell'ozono","hai il culo aperto come il buco dell'ozono","Your anus is as open as the ozone hole",0,5
"tiene 'o naso che me pare na prostata infiammata","hai il naso che sembra una prostata infiammata","your nose looks like a swollen prostrate",0,5
"tieni e cosce talmente storte che ce passa nu cane cu na mazza mmmoca","hai lo cosce talmente storte che ci passa una cane con un bastone in bocca","your legs are so crooked that a dog with a stick in its mouth could go through them",0,5
"Tiene tanta lentiggini che pare che ti hanno tirato n'faccia a merda ca zanzariera","Hai cosí tante lentiggini che sembra ti abbiano tirato la merda in faccia con una zanzariera","You have so many freckles that it looks like somebody threw shit on your face",0,5
"Tu me daie tante energia che mi fai girà e palle","Mi dai cosí tanta energia che mi fai girare i testicoli","You give me so much energy to make my balls go round",1,5
"tu pare na figura mitologica, tiene 'o cuorpe e ommo e 'a capa e cazze!","sembri una figura mitologica, hai il corpo di un uomo e la testa di cazzo!","You seem a mythological creature, you have a man's body and a dick's head",0,5
"Tu si comme a nu cane da neve n'husky-fezza","Sei come un cane da neve un husky-fezza","",0,5
"tutt' o blocc' si nu piret co fiocc","tutto sommato, sei solo un peto ben fatto","in the end, you're just a well executed fart",0,5
"Vatte a cuccà","Vai a dormire","Go to sleep (fuck off)",0,5
"Zuc'me l'ogn ro per","Succhiami l'unghia del piede","Suck my foot's nail",0,5
"arravughjt la sciang","ripiegati le gambe (vaffanculo)","Fold up your legs (fuck off)",0,13
"Cagammèrd",Cacasotto/Sfaticato,"Shitty pants/Lazy",1,13
Calandron,Tontolone,Gullible,0,13
Calascion,Tontolone,Gullible,0,13
Capacchion,Testardo/ingenuo,Stubborn/gullible,0,13
"Chèp d chiumm","Testa di piombo (testardo o sciocco)","Head full of lead (stubborn or gullible)",0,13
"Chin d serchje","Testa di luridume (incompetente o sciocco)","Head full of dirt (failure)",0,13
"Chin d siv","Testa piena di grasso (non sei affidabile)","Head full of fats (untrustable)",0,13
"Ciò-Ciò","Parli molto ma concludi poco","You speak a lot but don't do anything",1,13
"Faccje d ciol","Faccia da cazzo",Dickface,0,13
"Faccje du trè d baston","Faccia da tre di bastoni (brutto)","",0,13
"Maladesegrazjedegghiavè","Che tu possa avere una disgrazia","May something bad happen to you",0,13
"mongolò!",mongoloide!,moron!,0,13
"'mbamon",Infamone,villain,0,13
"'nghjemmon",Ottuso,Obtuse,0,13
Lurd,Lordo,Dirty,1,13
"Recchje d gomm","Orecchie di gomma (a sventola)","Rubber ears",0,13
"Stuè!",Stupido!,Stupid!,0,13
Trmon,"Sega (stolto)","You're a wank (gullible)",0,13
"Uàuà","Parli troppo ma concludi poco","You speak a lot but do nothing",0,13
Vaiass,Barbaro,Barbarous,0,13
"nd'hai chiù corna i nu panaru i bucalaci","Hai più corna di un cesto di lumache","You have more horns than a busket of snails",0,4
"nu mulu ragiona miglio e tie","un mulo ragiona meglio di te","a mule reasons better than you (you're stupid)",1,4
"piazz i merda","pezzo di merda","piece of shit",0,4
"se non foss' n'animalo t'avio già minato","se non fossi un animale ti avrei già picchiato","if you weren't an animal I would beat you already",0,4
"Sì na chiavica","Sei una fogna","You're a sewer",0,4
"sì propriu na ciota","sei proprio scemo","You are really stupid",0,4
"sì propriu nu ciutigno e mmerda","sei proprio un contenitore di merda","You are really a shit container",0,4
"sì talmente bruttu che puru a morta s' 'mpaura","sei così brutto che spaventeresti anche la morte","you're so ugly that even death is scared of you",0,4
"vavvidu 'n da ghiri","vedi dove devi andare","look where you have to go (fuck off)",1,4
"Armàlo 'i ggebbia","Animale che beve dall'abbeveratorio (ignorante)","Animal who drinks from a trough (ignorant)",0,15
Babbasuni!,Scemo!,Stupid!,0,15
Babbu!,Scemo!,Stupid!,0,15
bacchittuni!,Testardo!,Stubborn!,0,15
buttana!,puttana!,whore!,0,15
Cannavazzu!,"Straccio! (inutile)","Rag! (useless)",0,15
Cataprasimo/a,Imbranato,Clod,1,15
"chi ti manciassiru i canimannara!","Che ti sbranino i canilupo","May you be teared in pieces by wolf-dogs",0,15
cugghiuni,coglione,asshole,0,15
cuinnutu,cornuto,"horned (your wife cheats on you)",0,15
"Ha ghittari sangu ru cori!","Devi perdere sangue dal cuore!","May you bleed from your heart",0,15
"ietta sangu e mori!","Sanguina e muori! (dolorosamente)","Bleed and die! (in agony)",0,15
Loccu!,Scemo!,Stupid!,0,15
"ma va iaccati a mare!","ma vai a buttarti in mare!","go jump in the sea!",1,15
Maccarrune,Deficiente,Idiot,0,15
magnacciu,approfittatore,pimp,0,15
"Malanova mi a tu e tutta a to generazioni","Mannaggia a te e a tutta la tua generazione","Damned you and all your descendants",0,15
Minchiuni,Minchione,Simpleton,0,15
"mori ca testa nto cessu","muori con la testa nel cesso","Die with your head in the loo",0,15
murvuso,"morboso (fastidioso)","morbose (annoying)",0,15
"'nchiappafico",stupido,Stupid,1,15
"'n coppu 'ri minchia 'nda facci e t' fazzu tunnàri a casa stuccatu","Un colpo di minchia in faccia e ti faccio tornare a casa piegato","If I hit your face with my dick you will go home all bended",0,15
"Non ci scassari a minchia","Non mi rompere il cazzo (non rompere)","Don't break my dick (don't bother me)",0,15
"Non ci sucari a minchia","Non mi succhiare il cazzo (non rompere)","Don't suck my dick (don't bother me)",0,15
"Pezz'i mieidda","Pezzo di merda","Piece of shit",0,15
picculuemalacapatu,"piccolo e mal cresciuto (maleducato)","small and poorly raised (badly behaved)",0,15
pulla,puttana,whore,0,15
Rugnusu,Rognoso,Mangy,1,15
"Rusica ossa",Insensibile,Insensitive,0,15
scitruluni,cetriolone,dupe,0,15
"Sì accussì lario ca si ti viri u papa si fa u signa da' cruci","Sei così brutto che se ti vede il papa si fa il segno della croce","You're so ugly, if the pope sees you he'll make the sign of the cross",0,15
"Sì chiù curnutu di na cascia di babbaluci!","Sei più cornuto di una cassa di lumache!","You have more horns than a busket of snails",0,15
"Sì cchiù lariu ra motti!","Sei più brutto della morte!","You're uglier than death!",0,15
"Sì lario comi lu feli","Sei brutto come il fiele (la bile)","You're as ugly as the bile",0,15
"Sì mortu 'ntra l'ovu","Sei morto nell'uovo (stupido)","You're dead in the egg (gullible)",1,15
"Sì na chiavica","Sei una fogna","You're a sewer",0,15
"Sì na cosa inutuli","Sei una cosa inutile","You're something useless",0,15
"sì nu scravacchio","sei uno scarafaggio","you are a cockroach",0,15
"si te pigghju te stroppiu","se ti prendo ti rompo","If I grab you I'll break you",0,15
"sì un carduni","sei un cardo (grezzo)","you are a thistle (rude)",0,15
Spennagalletti,"spenna galli (nullafacente)","Rooster plucker",0,15
"Spera 'Ddiu ca t' a vveniri 'nfrusciu ca a gghittari fora magari l'ugna de pedi e mi ti s'annu a scuagghiari i pila do culu ppu sfozzu!","Spero che Dio ti faccia venire la diarrea così terribile che le unghie ti usciranno dai piedi ed i peli del culo si dovranno sciogliere per lo sforzo!","I hope God will give you such a strong diarrhea that your feet's nails will fall down and your ass hair will melt because of the effort!",1,15
"sucasti tri quatti e menzu ri sta minchia!","hai rotto tre quarti e mezzo di questo cazzo!","you broke three forths of dick!",0,15
"Talia dda stuppagghiara!","Guarda quella puttana!","Look at that whore!",0,15
Tappinara!,Zoccola!,Whore!,0,15
"Testa 'i minchia","Testa di cazzo",Dickhead,0,15
"Ti fazzu agghiùttiri i scagghiuna cu tutti l'angulara","Ti faccio inghiottire i canini con tutta la mascella","I'll make you swallow your canines with all your jaw",0,15
"Tu si nuddu ammiscatu ccu nenti!","Sei nessuno mischiato con niente!","You are nobody mixed with nothing!",0,15
"un ti cafuddo picchì a merda schizza!","Non ti picchio perchè la merda schizza","I don't hit you because shit squirts",1,15
"u' ti sputu picchì ti disifiattu","Non ti sputo perché ti disinfetterei","I don't spit on you otherwise I would disinfect you",0,15
"Va ecca u vilianu","Vai a buttare il veleno","Go pour some poison",0,15
"Va 'faritillu mettiri 'nto 'u culo da un sciecco","Vai a fartelo mettere in culo da un asino","Go get it in your ass by a donkey",0,15
"Va a ghittari saungu ru curi","Vai a buttare sangue dal cuore","Go bleed from your heart",0,15
"và ieccati 'ntra u sciddicaloro!","buttati da un dirupo!","Jump off a cliff!",0,15
"và ittariti 'ntra nu slavanco!","buttati da un dirupo!","Jump off a cliff!",0,15
"va' inchiummate","vai a impiombarti (spararti)","Go shoot yourself",1,15
"Va sucati un pruno","Vai a succhiarti una prugna","Go suck a plum",0,15
viddanu,rozzo,clod,0,15
"bai a cagai","vai a cagare","go take a dump",0,14
Calloni,Coglione,Dork,0,14
"Chi ri spagazziri su buginu","Che ti disperda il diavolo","May the devil dispers you",0,14
"chi di occiada unu lampu!","Che ti uccida un lampo!","May a lightning kill you!",0,14
Coddaproccusu!,"Hai rapporti sessuali con i suini","You are one who has sex with pigs",1,14
"Conche de cazzu","Testa di cazzo",Dickhead,0,14
"Cravadinci in su cunnu!","Infilati con forza in una vagina","Go inside a pussy",0,14
"Leala in culu bottasa et tottu","Vaffanculo con le scarpe e tutto il resto","Go fuck yourself with your shows and everything else",0,14
"Minc'e cuaddu ti coddidi!","Che un pene equino ti forzi ad avere rapporti sessuali!","May a horse's penis force you to have sex",0,14
"Minc'e cuaddu ti currada!","Che un pene equino ti perseguiti","May a horse's penis haunt you!",0,14
poba!,succhia!,"suck me!",0,14
"Fai schifo al cazzo","","You're disgusting",1,21
"Ora non posso ma appena possò scenderò come Gesù Cristo che ti benedice","","Now I can't but as soon as I can I'll descend on you like blessing Jesus Christ",0,21
"Sei così grasso che quando uno ti vede dice: mamma ho trovato il pallone da calcio","","You are so fat that when somebody sees you says: mom I found the soccer ball",0,21
"Sei così sfigato che in una gara di sfigati professionisti arriveresti secondo... perché sei sfigato!","","You're such a loser that in a worst loser competition you would get second... because you're a loser!",0,21
"sei più brutto della morte","","You're uglier than death",0,21
"sei talmente brutto che quando i bambini ti vedono dicono alle loro mamme: guarda mamma un culo con le orecchie!","","you're so ugly that when kids see you they tell their moms: look mom an ass with ears!",0,21
"Sei talmente brutto che quando tua madre ti ha partorito non sapeva se chiamare il dottore o il veterinaio","","You're so ugly that when you were born your mother didn't know whether to call the doctor or the vet",0,21
"sei talmente brutto che non ti sorridono neanche i sofficini Findus","","",1,21
"sei talmente grasso che gli oggetti che hai vicino ti orbitano attorno","","you're so fat that your objects orbit around you",0,21
